t;h;season
278.550000;000000;winter
277.350000;000000;winter
276.850000;000000;winter
278.050000;000000;winter
276.950000;000000;winter
278.150000;030000;winter
276.250000;030000;winter
274.050000;030000;winter
277.950000;030000;winter
276.650000;030000;winter
277.650000;060000;winter
276.550000;060000;winter
272.850000;060000;winter
277.650000;060000;winter
275.450000;060000;winter
278.250000;090000;winter
276.950000;090000;winter
273.150000;090000;winter
277.550000;090000;winter
275.350000;090000;winter
279.250000;120000;winter
278.250000;120000;winter
277.250000;120000;winter
277.650000;120000;winter
276.950000;120000;winter
279.650000;150000;winter
278.650000;150000;winter
277.950000;150000;winter
278.650000;150000;winter
276.950000;150000;winter
278.650000;180000;winter
277.250000;180000;winter
275.550000;180000;winter
275.250000;180000;winter
274.050000;180000;winter
278.550000;210000;winter
277.050000;210000;winter
274.150000;210000;winter
273.150000;210000;winter
273.650000;210000;winter
276.950000;000000;winter
274.450000;000000;winter
273.750000;000000;winter
274.050000;000000;winter
274.150000;000000;winter
274.750000;030000;winter
273.450000;030000;winter
273.750000;030000;winter
273.750000;030000;winter
274.150000;060000;winter
273.450000;060000;winter
273.050000;060000;winter
273.350000;060000;winter
272.650000;060000;winter
273.150000;090000;winter
272.650000;090000;winter
273.050000;090000;winter
272.950000;090000;winter
272.250000;090000;winter
273.950000;120000;winter
273.150000;120000;winter
273.750000;120000;winter
274.150000;120000;winter
273.250000;120000;winter
273.850000;150000;winter
273.550000;150000;winter
273.750000;150000;winter
273.650000;150000;winter
274.450000;150000;winter
272.550000;180000;winter
272.350000;180000;winter
272.750000;180000;winter
272.550000;180000;winter
273.450000;180000;winter
271.950000;210000;winter
271.250000;210000;winter
272.250000;210000;winter
271.750000;210000;winter
273.450000;210000;winter
271.350000;000000;winter
270.850000;000000;winter
272.550000;000000;winter
271.050000;000000;winter
274.150000;000000;winter
271.250000;030000;winter
271.050000;030000;winter
272.950000;030000;winter
271.950000;030000;winter
276.250000;030000;winter
271.350000;060000;winter
271.950000;060000;winter
273.350000;060000;winter
272.550000;060000;winter
276.750000;060000;winter
272.150000;090000;winter
272.750000;090000;winter
274.250000;090000;winter
273.850000;090000;winter
277.650000;090000;winter
273.550000;120000;winter
273.250000;120000;winter
276.550000;120000;winter
276.150000;120000;winter
279.750000;120000;winter
274.250000;150000;winter
274.250000;150000;winter
277.650000;150000;winter
277.350000;150000;winter
279.850000;150000;winter
274.850000;180000;winter
274.750000;180000;winter
276.850000;180000;winter
276.450000;180000;winter
279.250000;180000;winter
274.950000;210000;winter
274.650000;210000;winter
277.250000;210000;winter
277.150000;210000;winter
279.650000;210000;winter
273.950000;000000;winter
274.750000;000000;winter
278.050000;000000;winter
277.550000;000000;winter
280.050000;000000;winter
274.850000;030000;winter
275.450000;030000;winter
279.450000;030000;winter
278.050000;030000;winter
279.950000;030000;winter
276.050000;060000;winter
276.350000;060000;winter
279.450000;060000;winter
279.350000;060000;winter
280.050000;060000;winter
276.350000;090000;winter
278.250000;090000;winter
279.750000;090000;winter
279.250000;090000;winter
279.750000;090000;winter
280.750000;120000;winter
281.050000;120000;winter
280.750000;120000;winter
282.150000;120000;winter
281.550000;120000;winter
280.950000;150000;winter
281.150000;150000;winter
281.150000;150000;winter
282.550000;150000;winter
282.550000;150000;winter
281.150000;180000;winter
280.350000;180000;winter
281.250000;180000;winter
282.050000;180000;winter
282.450000;180000;winter
281.950000;210000;winter
281.350000;210000;winter
281.150000;210000;winter
282.250000;210000;winter
282.750000;210000;winter
281.750000;000000;winter
281.650000;000000;winter
282.350000;000000;winter
282.550000;000000;winter
283.050000;000000;winter
280.850000;030000;winter
279.050000;030000;winter
280.150000;030000;winter
281.950000;030000;winter
282.950000;030000;winter
279.950000;060000;winter
278.350000;060000;winter
279.650000;060000;winter
279.350000;060000;winter
282.150000;060000;winter
280.250000;090000;winter
279.450000;090000;winter
280.250000;090000;winter
280.250000;090000;winter
281.850000;090000;winter
280.850000;120000;winter
281.250000;120000;winter
281.850000;120000;winter
281.850000;120000;winter
283.450000;120000;winter
279.350000;150000;winter
280.250000;150000;winter
282.350000;150000;winter
282.450000;150000;winter
283.350000;150000;winter
280.450000;180000;winter
279.950000;180000;winter
281.650000;180000;winter
282.550000;180000;winter
281.750000;180000;winter
280.150000;210000;winter
280.050000;210000;winter
281.350000;210000;winter
281.650000;210000;winter
282.050000;210000;winter
280.450000;000000;winter
280.150000;000000;winter
281.350000;000000;winter
281.750000;000000;winter
279.050000;030000;winter
279.850000;030000;winter
279.950000;030000;winter
281.250000;030000;winter
277.050000;060000;winter
276.450000;060000;winter
276.850000;060000;winter
278.350000;060000;winter
280.750000;060000;winter
276.950000;090000;winter
276.350000;090000;winter
278.250000;090000;winter
278.450000;090000;winter
280.650000;090000;winter
280.150000;120000;winter
278.550000;120000;winter
279.350000;120000;winter
282.150000;120000;winter
281.950000;120000;winter
280.050000;150000;winter
279.550000;150000;winter
280.150000;150000;winter
280.750000;150000;winter
281.850000;150000;winter
278.650000;180000;winter
279.550000;180000;winter
280.850000;180000;winter
280.250000;180000;winter
282.250000;180000;winter
279.750000;210000;winter
280.750000;210000;winter
281.750000;210000;winter
281.150000;210000;winter
285.550000;210000;winter
281.650000;000000;winter
